variable_name,units,value,data_reference
K_CSQN_Kapela,mM,0.8,Kapela
d_NCX_Kapela,dimensionless,0.0003,Kapela
G_TG_Kapela,dimensionless,100000,Kapela
k_DsGC_Kapela,per_ms,0.0004,Kapela
K_ClcGMP_Kapela,mM,0.0064,Kapela
k_pdecGMP_Kapela,per_ms,0.0000695,Kapela
Q_10_Kapela,dimensionless,1.87,Kapela
k_DrsGC_Kapela,per_ms,0.0001,Kapela
tau_SOC_Kapela,ms,100,Kapela
Ca_u_init_Kapela,mM,0.66,Kapela
Ca_r_init_Kapela,mM,0.57,Kapela
k_2sGC_Kapela,per_ms,0.0000064,Kapela
Istim_amp_Kapela,picoampere,0,Kapela
dV_50KCaNO_Kapela,mV,46.3,Kapela
tau_ps_Kapela,ms,35.9,Kapela
Ca_i_init_Kapela,mM,0.000068,Kapela
R_leak_Kapela,dimensionless,0.0000107,Kapela
g_NCX_Kapela,picoampere,0.000487,Kapela
Ca_e_Kapela,mM,2,Kapela
K_mup_Kapela,mM,0.001,Kapela
K_dKe_Kapela,mM,1.6,Kapela
P_SOC_init_Kapela,dimensionless,0,Kapela
tau_pf_Kapela,ms,0.84,Kapela
Vol_Ca_Kapela,picoL,0.7,Kapela
gNa_SOC_Kapela,nanosiemens,0.0575,Kapela
V_cGMP_init_Kapela,mM_per_ms,0,Kapela
IP3_init_Kapela,mM,0,Kapela
Ibar_PMCA_Kapela,picoampere,5.37,Kapela
K_inhIP3_Kapela,mM,0.0001,Kapela
V_m_init_Kapela,mV,-59.4,Kapela
gamma_NCX_Kapela,dimensionless,0.45,Kapela
P_BKCa_Kapela,cm3_per_s,3.9E-13,Kapela
tau_q2_Kapela,ms,2884,Kapela
tau_q1_Kapela,ms,371,Kapela
Na_dNai_Kapela,mM,22,Kapela
R_11_init_Kapela,dimensionless,0.000004,Kapela
R_10_init_Kapela,dimensionless,0.0033,Kapela
V_m0_Kapela,mV,-59.4,Kapela
n_HNai_Kapela,dimensionless,1.7,Kapela
alpha_G_Kapela,per_ms,0.00000002781,Kapela
k_3sGC_Kapela,per__ms_x_mM_,4.2,Kapela
z_Cl_Kapela,dimensionless,-1,Kapela
gCa_SOC_Kapela,nanosiemens,0.0083,Kapela
K_ClCa_Kapela,mM,0.000365,Kapela
Ibar_IP3_Kapela,per_ms,0.00288,Kapela
R_01_init_Kapela,dimensionless,0.9955,Kapela
z_Ca_Kapela,dimensionless,2,Kapela
Ibar_NaK_Kapela,picoampere_per_picofarad,2.3083,Kapela
k_rG_Kapela,per_ms,0.000000175,Kapela
n_ClCa_Kapela,dimensionless,2,Kapela
R_TG_Kapela,dimensionless,20000,Kapela
k_eG_Kapela,per_ms,0.000006,Kapela
tau_rel_Kapela,ms,0.0333,Kapela
cGMP_i_init_Kapela,mM,0,Kapela
k_m1sGC_Kapela,per_ms,0.015,Kapela
z_Na_Kapela,dimensionless,1,Kapela
R_supSPG_init_Kapela,dimensionless,0,Kapela
k_degG_Kapela,per_ms,0.00125,Kapela
Ibar_SERCA_Kapela,picoampere,6.68,Kapela
K_r2_Kapela,per__ms_x_mM_,1.05,Kapela
K_r1_Kapela,per__ms_x_mM2_,2500,Kapela
Bbar_F_Kapela,mM,0.1,Kapela
R_ClcGMPmin_Kapela,dimensionless,0.0132,Kapela
k_dG_Kapela,per_ms,0.0015,Kapela
Na_i_init_Kapela,mM,8.4,Kapela
Vol_SRu_Kapela,picoL,0.07,Kapela
Na_e_Kapela,mM,140,Kapela
Vol_SRr_Kapela,picoL,0.007,Kapela
Cl_i_init_Kapela,mM,59.4,Kapela
k_pG_Kapela,per_ms,0,Kapela
n_HKe_Kapela,dimensionless,1.1,Kapela
Cl_e_Kapela,mM,129,Kapela
K_mPMCA_Kapela,mM,0.00017,Kapela
K_mr2_Kapela,per_ms,0.084,Kapela
K_mr1_Kapela,per_ms,0.0076,Kapela
dV_50KCacGMP_Kapela,mV,76,Kapela
g_ClCa_Kapela,nanosiemens_per_picofarad,0.23,Kapela
K_SOC_Kapela,mM,0.0001,Kapela
P_VOCC_Kapela,cm_per_s,0.0000188,Kapela
K_dB_Kapela,mM,0.0005298,Kapela
