Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
0.01,3112.9710308912377,2873.6536282568786,2331.3528033145067,2924.314967967359,2022.2886024727502,1722.623370231591
0.02,3276.7605730455202,3201.2772359110163,3023.0169005366724,3243.82194321396,2864.7161277730315,3103.2217345494078
0.03,3336.7321121883606,3333.2162726522492,3269.9664698849815,3380.8881645938677,3230.2469592365337,3975.0928906131144
0.04,3367.4154101815734,3398.530824856152,3372.5377836951116,3445.6251497752532,3393.15015424294,4487.458731331026
0.05,3383.9484342494484,3432.8942503365843,3420.768452877694,3477.9776281129275,3468.5790849370705,4779.583491495686
0.06,3392.966694521942,3451.4203448918847,3445.2846565793816,3494.7576384497224,3504.9564480891045,4943.837341017659
0.07,3397.9135043544347,3461.527654322279,3458.282277122214,3503.672428817247,3523.1629344950798,5035.563899767528
0.08,3400.6363746975035,3467.0771079802103,3465.3214854287344,3508.48178609423,3532.5551264708406,5086.606578008105
0.09,3402.138503336876,3470.134963368861,3469.1745264956626,3511.101654104569,3537.5121333554507,5114.955239225188
0.1,3402.9683980191458,3471.82339040053,3471.294978921284,3512.537587932083,3540.171204147795,5130.682621935251
0.11,3403.427328319538,3472.7568145888376,3472.4652325948823,3513.3276651831666,3541.6135496619354,5139.402350258135
0.12,3403.6812673776512,3473.27322479892,3473.112070396412,3513.7634429501804,3542.401728042076,5144.234983013787
0.13,3403.821831840155,3473.5590523918627,3473.4699047368194,3514.004172949322,3542.8345238766155,5146.912696347316
0.14,3403.899657700827,3473.7172980433515,3473.66795803931,3514.137285346333,3543.0729211514436,5148.396179590005
0.15,3403.9427536321186,3473.8049238575322,3473.7776077788094,3514.2109356149513,3543.204501726973,5149.217973708817
0.16,3403.9666201157934,3473.8534501480763,3473.8383244640454,3514.2517017375226,3543.2772192661264,5149.673191971466
0.17,3403.9798381040123,3473.8803252257676,3473.8719488052475,3514.2742717383526,3543.3174391688367,5149.925343450666
0.18,3403.98715888881,3473.8952099025046,3473.8905708382217,3514.2867694799056,3543.339696240302,5150.065010548854
0.19,3403.9912135953887,3473.903453933393,3473.900884604337,3514.2936905688516,3543.352017011307,5150.1423713411405
0.2,3403.993459374843,3473.9080200427584,3473.9065969940734,3514.297523619059,3543.358838801011,5150.185220675615
0.21,3403.9947032546215,3473.9105490904226,3473.909760908694,3514.2996465301503,3543.3626164027587,5150.208954350056
0.22,3403.995392211355,3473.911949871246,3473.9115133182104,3514.300822320832,3543.364708444683,5150.222100072451
0.23,3403.9957738100384,3473.912725733958,3473.912483937379,3514.301473551936,3543.365867082332,5150.229381273799
0.24,3403.995985169956,3473.9131554687388,3473.9130215427617,3514.301834250686,3543.366508793335,5150.233414207345
0.25,3403.996102238149,3473.9133934905203,3473.913319311613,3514.302034032943,3543.3668642122875,5150.23564797882
0.26,3403.996167080016,3473.913525326287,3473.9134842400267,3514.3021446879206,3543.36706106778,5150.236885225214
0.27,3403.9962029947214,3473.9135983476635,3473.91357559076,3514.3022059774253,3543.3671701008407,5150.237570513827
0.28,3403.9962228872155,3473.9136387928547,3473.9136261882295,3514.3022399244696,3543.3672304917022,5150.237950082838
0.29,3403.9962339053022,3473.9136611947038,3473.913654213235,3514.3022587270857,3543.3672639409015,5150.238160319247
0.3,3403.996240008019,3473.913673602679,3473.9136697357712,3514.3022691415003,3543.367282467734,5150.238276765381
0.31,3403.996243388202,3473.9136804752293,3473.9136783334197,3514.3022749098513,3543.367292729386,5150.238341262779
0.32,3403.996245260424,3473.9136842818098,3473.913683095501,3514.3022781048344,3543.3672984131185,5150.2383769867165
0.33,3403.996246297414,3473.913686390205,3473.91368573313,3514.302279874477,3543.3673015612326,5150.238396773554
0.34,3403.9962468717836,3473.913687558007,3473.9136871940646,3514.3022808546493,3543.3673033049145,5150.2384077331235
0.35000000000000003,3403.9962471899166,3473.913688204831,3473.91368800325,3514.302281397549,3543.367304270707,5150.23841380343
0.36,3403.996247366125,3473.913688563095,3473.913688451443,3514.302281698251,3543.3673048056417,5150.238417165662
0.37,3403.996247463723,3473.913688761531,3473.9136886996894,3514.3022818648046,3543.3673051019323,5150.238419027941
0.38,3403.9962475177813,3473.913688871441,3473.913688837188,3514.302281957056,3543.3673052660424,5150.238420059423
0.39,3403.9962475477223,3473.9136889323186,3473.9136889133456,3514.3022820081515,3543.36730535694,5150.238420630743
