Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
0.01,3101.486270594748,2851.1321677611404,2313.3460174727234,2913.4404402879154,2013.583505082986,1518.8249968217244
0.02,3257.919521677196,3164.194135925127,2989.689260308028,3225.3907153370155,2847.141099189434,2790.8792858192414
0.03,3315.941301757244,3292.1154496166805,3230.4357929815374,3359.7018968304437,3207.7774207823527,3636.8435562442414
0.04,3347.229782498564,3358.502918281792,3332.6379974608817,3424.3173804226935,3369.110071931346,4159.07181259277
0.05,3365.1022457388553,3395.4616792505403,3382.86499408096,3457.5931149170647,3444.81366086726,4471.311990435531
0.06,3375.423930391977,3416.5562802871837,3409.8274124977884,3475.521822999692,3482.203811775922,4655.307431993125
0.07,3381.404755835707,3428.718103530126,3424.9521839889785,3485.4663904413496,3501.549294777053,4762.989198107459
0.08,3384.8753214581325,3435.7604871841713,3433.6075659006524,3491.083530554028,3511.938875349488,4825.7976069198585
0.09,3386.8907154682247,3439.8464348899633,3438.604140270307,3494.292011587914,3517.6731876030963,4862.37019632697
0.1,3388.061533277488,3442.219218133145,3441.499485752381,3496.1372053306577,3520.8980234863348,4883.64713917089
0.11,3388.7418439931394,3443.597714501708,3443.1800015830217,3497.202767157812,3522.7340479766035,4896.019625144334
0.12,3389.137183217613,3444.3987239674916,3444.156109055954,3497.8196481724553,3523.7875986475883,4903.212327077825
0.13,3389.3669321964435,3444.864211392198,3444.7232489890253,3498.1773171558357,3524.395121295219,4907.393175197722
0.14,3389.5004521622027,3445.134728487676,3445.0528154385543,3498.3848844135973,3524.746508437441,4909.823147286494
0.15,3389.5780486014078,3445.2919412371452,3445.2443386775635,3498.505409438288,3524.9501267148953,4911.235418121457
0.16,3389.6231445579588,3445.3833067972087,3445.355642563817,3498.575416447231,3525.0682514304976,4912.0561912363055
0.17,3389.649352478771,3445.436404665578,3445.4203274466936,3498.61608833045,3525.1368263203426,4912.533194768864
0.18,3389.6645834079636,3445.4672628806334,3445.457919498404,3498.639720342971,3525.1766528145554,4912.810409452638
0.19,3389.67343495445,3445.4851963185915,3445.4797663536015,3498.6534525299544,3525.1997889055424,4912.971514317063
0.2,3389.678579073538,3445.495618423773,3445.4924627703576,3498.661432449072,3525.213231257444,4913.065141035707
0.21,3389.681568598461,3445.501675271587,3445.499841349435,3498.666069792803,3525.2210421640025,4913.119552475701
0.22,3389.6833059704923,3445.505195228523,3445.504129437844,3498.668764722191,3525.22558108329,4913.151173811834
0.23,3389.684315648974,3445.507240861227,3445.5066214736544,3498.6703308598544,3525.228218741743,4913.169550615449
0.24,3389.684902426014,3445.5084296855844,3445.5080697268477,3498.6712410144755,3525.2297515711243,4913.180230328786
0.25,3389.6852434327366,3445.509120573413,3445.5089113825525,3498.671769949185,3525.2306423596983,4913.186436862801
0.26,3389.6854416094598,3445.5095220842377,3445.509400512529,3498.6720773393404,3525.2311600366634,4913.1900438005005
0.27,3389.685556780228,3445.5097554229974,3445.5096847713626,3498.672255979235,3525.2314608832557,4913.192139978305
0.28,3389.685623711923,3445.5098910282313,3445.509849968904,3498.67235979596,3525.231635719958,4913.193358175463
0.29,3389.6856626093927,3445.509969835447,3445.509945973746,3498.6724201291677,3525.231737326313,4913.194066132722
0.3,3389.685685214722,3445.510015634393,3445.5100017671243,3498.6724551918915,3525.2317963749115,4913.194477563229
0.31,3389.685698351847,3445.510042250526,3445.5100341915395,3498.6724755686437,3525.2318306910656,4913.194716666733
0.32,3389.6857059865088,3445.5100577185353,3445.5100530350423,3498.672487410624,3525.231850633942,4913.194855622121
0.33,3389.6857104234045,3445.5100667077945,3445.5100639859747,3498.67249429261,3525.231862223772,4913.19493637627
0.34,3389.685713001914,3445.5100719319175,3445.5100703501266,3498.6724982920864,3525.23186895922,4913.194983306674
0.35000000000000003,3389.685714500419,3445.5100749679245,3445.510074048665,3498.6725006163883,3525.231872873535,4913.195010580355
0.36,3389.6857153712776,3445.5100767323056,3445.5100761980757,3498.6725019671603,3525.2318751483454,4913.195026430497
0.37,3389.6857158773787,3445.5100777576777,3445.5100774472094,3498.6725027521634,3525.2318764703555,4913.195035641834
0.38,3389.6857161714997,3445.5100783535745,3445.5100781731453,3498.672503208369,3525.231877238644,4913.195040995016
0.39,3389.685716342429,3445.5100786998814,3445.5100785950244,3498.672503473494,3525.2318776851353,4913.195044106028
0.4,3389.6857164417643,3445.5100789011376,3445.5100788401996,3498.672503627572,3525.231877944614,4913.195045913996
0.41000000000000003,3389.6857164994935,3445.510079018098,3445.5100789826843,3498.672503717114,3525.231878095411,4913.1950469647
0.42,3389.685716533043,3445.5100790860706,3445.5100790654888,3498.672503769152,3525.2318781830477,4913.195047575318
0.43,3389.68571655254,3445.5100791255722,3445.5100791136115,3498.672503799394,3525.2318782339776,4913.195047930181
0.44,3389.685716563871,3445.5100791485293,3445.510079141578,3498.6725038169684,3525.2318782635753,4913.195048136409
0.45,3389.6857165704564,3445.5100791618697,3445.51007915783,3498.672503827183,3525.2318782807765,4913.19504825626
0.46,3389.685716574283,3445.510079169623,3445.510079167276,3498.6725038331188,3525.2318782907723,4913.19504832591
0.47000000000000003,3389.6857165765073,3445.510079174129,3445.5100791727646,3498.672503836568,3525.2318782965813,4913.195048366388
0.48,3389.6857165777997,3445.5100791767477,3445.5100791759546,3498.6725038385725,3525.2318782999578,4913.195048389911
0.49,3389.6857165785505,3445.510079178269,3445.5100791778086,3498.672503839738,3525.23187830192,4913.195048403582
0.5,3389.685716578987,3445.510079179154,3445.510079178886,3498.672503840415,3525.23187830306,4913.195048411529
0.51,3389.6857165792408,3445.5100791796676,3445.5100791795126,3498.6725038408085,3525.231878303723,4913.195048416146
0.52,3389.6857165793886,3445.5100791799664,3445.510079179876,3498.6725038410373,3525.2318783041082,4913.195048418828
0.53,3389.685716579474,3445.51007918014,3445.5100791800874,3498.6725038411696,3525.231878304332,4913.195048420387
0.54,3389.6857165795236,3445.5100791802406,3445.51007918021,3498.6725038412474,3525.2318783044616,4913.195048421294
0.55,3389.6857165795527,3445.5100791802993,3445.5100791802815,3498.672503841292,3525.2318783045375,4913.1950484218205
0.56,3389.6857165795695,3445.510079180334,3445.510079180323,3498.6725038413183,3525.231878304581,4913.195048422127
0.5700000000000001,3389.685716579579,3445.510079180354,3445.510079180347,3498.6725038413338,3525.2318783046076,4913.195048422304
0.58,3389.6857165795846,3445.5100791803648,3445.5100791803616,3498.6725038413424,3525.2318783046217,4913.195048422409
0.59,3389.6857165795877,3445.5100791803716,3445.5100791803693,3498.672503841348,3525.2318783046303,4913.195048422468
0.6,3389.68571657959,3445.510079180375,3445.5100791803748,3498.6725038413506,3525.2318783046353,4913.195048422503
0.61,3389.685716579591,3445.510079180378,3445.5100791803775,3498.672503841352,3525.2318783046385,4913.1950484225235
0.62,3389.6857165795914,3445.5100791803793,3445.5100791803793,3498.6725038413533,3525.23187830464,4913.195048422535
0.63,3389.685716579592,3445.51007918038,3445.5100791803798,3498.672503841354,3525.231878304641,4913.195048422543
0.64,3389.6857165795923,3445.5100791803807,3445.51007918038,3498.6725038413542,3525.231878304642,4913.195048422547
0.65,3389.6857165795923,3445.5100791803807,3445.510079180381,3498.6725038413542,3525.231878304642,4913.195048422548
0.66,3389.6857165795923,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.19504842255
0.67,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.68,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.6900000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.7000000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.71,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.72,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.73,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.74,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.75,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.76,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.77,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
0.78,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.79,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.8,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.81,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.8200000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.8300000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.84,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.85,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
0.86,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.87,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
0.88,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.89,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.9,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.91,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.92,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.93,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.9400000000000001,3389.6857165795927,3445.51007918038,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.9500000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.96,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.97,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.98,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
0.99,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.0,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.01,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.02,3389.6857165795927,3445.51007918038,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.03,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.04,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.05,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.06,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.07,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.08,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.09,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.1,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.11,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.12,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.1300000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.1400000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.1500000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.16,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.17,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.18,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
