Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
0.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
5.0,3403.809522991618,3473.529696675515,3473.4025567101717,3513.9580256802137,3542.6418585179504,5146.821586537731
10.0,3403.9802034155427,3473.8807010940823,3473.8698230005266,3514.2727326977956,3543.305150410108,5149.944658326055
15.0,3403.9913434900345,3473.9036072240583,3473.900292228303,3514.2932565826545,3543.348345681877,5150.148591452846
20.0,3403.986405182639,3473.89344780291,3473.886741306917,3514.2841328657023,3543.3290479836533,5150.058335514932
25.0,3403.99089981823,3473.9026911929177,3473.899047528235,3514.2924210428805,3543.3465195769554,5150.140572665023
30.0,3403.9963451002263,3473.913889986738,3473.9139596170744,3514.302463980432,3543.367696757671,5150.24019356632
35.0,3403.9964157037402,3473.914034977352,3473.914151197417,3514.302593174724,3543.367965356615,5150.241491120115
40.0,3403.9959446503412,3473.913065972229,3473.912859253635,3514.3017232678444,3543.366126801077,5150.232879705205
45.0,3403.996076181222,3473.9133364872578,3473.913219521688,3514.301965892923,3543.366638558249,5150.235285829787
50.0,3403.99626844019,3473.913731920393,3473.913746298671,3514.3023206383136,3543.3673871785436,5150.238802295471
55.0,3403.996262795121,3473.9137203007763,3473.9137307568312,3514.3023101792796,3543.3673649453553,5150.23869929365
60.0,3403.9962372054006,3473.913667658625,3473.913660560421,3514.3022629151596,3543.36726502601,5150.238231524038
65.0,3403.9962415104446,3473.9136765135445,3473.9136723594506,3514.302270860575,3543.3672818007262,5150.238310252841
70.0,3403.996248828266,3473.9136915661034,3473.9136924219324,3514.302284369974,3543.3673103358005,5150.238444057429
75.0,3403.996248403289,3473.9136906916156,3473.913691254138,3514.3022835838833,3543.3673086696067,5150.238436295724
80.0,3403.9962471979975,3473.913688212009,3473.913687946769,3514.302281357102,3543.3673039597466,5150.23841426705
85.0,3403.996247353105,3473.9136885310836,3473.913688372196,3514.302281643551,3543.3673045651876,5150.238417102556
90.0,3403.9962476453134,3473.913689132208,3473.9136891738112,3514.302282183282,3543.367305706303,5150.238422443859
95.0,3403.9962476233113,3473.9136890869354,3473.913689113363,3514.3022821425907,3543.3673056200782,5150.238422041982
100.0,3403.996247569644,3473.913688976519,3473.9136889660367,3514.302282043405,3543.3673054101628,5150.238421061308
105.0,3403.9962475756274,3473.9136889888305,3473.9136889824617,3514.3022820544634,3543.367305433561,5150.23842117066
110.0,3403.996247587623,3473.9136890135105,3473.913689015389,3514.3022820766314,3543.367305480474,5150.238421389865
115.0,3403.9962475866046,3473.913689011415,3473.9136890125915,3514.3022820747483,3543.3673054764813,5150.238421371271
120.0,3403.9962475842754,3473.9136890066216,3473.913689006193,3514.3022820704414,3543.3673054673595,5150.238421328711
125.0,3403.9962475845164,3473.9136890071177,3473.9136890068553,3514.3022820708866,3543.3673054683036,5150.2384213331125
130.0,3403.996247585016,3473.913689008146,3473.913689008228,3514.3022820718106,3543.3673054702613,5150.238421342246
135.0,3403.996247584971,3473.9136890080536,3473.9136890081045,3514.302282071728,3543.3673054700844,5150.2384213414225
140.0,3403.9962475848715,3473.913689007848,3473.9136890078303,3514.3022820715432,3543.367305469693,5150.238421339599
145.0,3403.996247584881,3473.913689007868,3473.9136890078576,3514.3022820715614,3543.3673054697315,5150.238421339779
150.0,3403.9962475849024,3473.913689007911,3473.9136890079153,3514.3022820716005,3543.3673054698147,5150.238421340162
155.0,3403.9962475849,3473.9136890079076,3473.91368900791,3514.3022820715964,3543.3673054698065,5150.238421340127
160.0,3403.996247584896,3473.913689007899,3473.9136890078976,3514.3022820715887,3543.3673054697897,5150.238421340051
165.0,3403.9962475848965,3473.9136890078994,3473.9136890078985,3514.302282071589,3543.3673054697915,5150.238421340058
170.0,3403.996247584898,3473.913689007901,3473.913689007901,3514.302282071591,3543.3673054697956,5150.238421340074
175.0,3403.996247584898,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.238421340073
180.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.30228207159,3543.3673054697942,5150.238421340069
185.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.30228207159,3543.3673054697942,5150.23842134007
190.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.238421340071
195.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.238421340071
200.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
205.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
210.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
215.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
220.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
225.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
230.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
235.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
240.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
245.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
