Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.0,0.0,0.0,0.0,-2.2537083104317968e-12,0.0,-1.5394182448304624e-13
0.01,-8.473223643707277e-14,-1.0903577526816147e-13,3.3705426280704464e-14,-1.9831272346687455e-13,5.187408990040754e-14,-8.630410315324102e-15
0.02,4.762548251803551e-14,4.9806174715916394e-14,4.2465199934626365e-14,1.9364272590396733e-13,9.801232885289593e-14,1.5643623826380957e-13
0.03,1.4409955956018792e-13,1.6584729605432308e-13,6.483760252491806e-14,4.472468775125343e-13,1.3998169567474356e-13,3.0372336432931125e-13
0.04,2.1915051447902575e-13,2.5432890293159646e-13,8.771830849750588e-14,6.334185471094017e-13,1.7613039921500394e-13,4.2487953360544363e-13
0.05,2.781902420145426e-13,3.233857438636523e-13,1.0709880394044411e-13,7.756482294822753e-13,2.0594147507857261e-13,5.218744329390871e-13
0.06,3.2474012635771803e-13,3.7769628626265213e-13,1.2271329030404715e-13,8.863554402315321e-13,2.29998687080348e-13,5.988588639517214e-13
0.07,3.614746124769968e-13,4.2052187787976476e-13,1.3511642539227136e-13,9.732375941693657e-13,2.49197035238764e-13,6.597726609064082e-13
0.08,3.904716822377194e-13,4.5431904212193223e-13,1.4492677901837604e-13,1.0416523820510932e-12,2.644296843238092e-13,7.079068334947825e-13
0.09,4.1336274846757157e-13,4.809974789073076e-13,1.5267608788394572e-13,1.0956014935372873e-12,2.764824149050397e-13,7.459208636006489e-13
0.1,4.314341142318536e-13,5.020583158134723e-13,1.5879494397839326e-13,1.1381707534239094e-12,2.8600730280782154e-13,7.759359871692154e-13
0.11,4.45700859365117e-13,5.186850353724895e-13,1.636258763677159e-13,1.171770519850414e-12,2.9353043939535837e-13,7.996335411155739e-13
0.12,4.569641142249735e-13,5.318114047787341e-13,1.674398638709509e-13,1.1982942122564993e-12,2.994710540524082e-13,8.18342722139396e-13
0.13,4.658562293016168e-13,5.421744037789476e-13,1.704509539998336e-13,1.2192332505168743e-12,3.0416150408787716e-13,8.331134170638176e-13
0.14,4.728763895690459e-13,5.503557974688279e-13,1.7282816045768105e-13,1.2357639181367763e-12,3.0786468680955e-13,8.447746609582077e-13
0.15,4.784186801889761e-13,5.568148604239604e-13,1.747049242090729e-13,1.2488144717884496e-12,3.107883391513733e-13,8.539810209189972e-13
0.16,4.827942207121131e-13,5.619141763292378e-13,1.7618659660813715e-13,1.2591176137995476e-12,3.130965308110664e-13,8.612492849548696e-13
0.17,4.862486331863235e-13,5.659399967150504e-13,1.773563511546254e-13,1.2672517497002087e-12,3.149188146252075e-13,8.669874536670125e-13
0.18,4.889758313986239e-13,5.691183114594778e-13,1.7827985196213488e-13,1.2736735027385954e-12,3.1635747827714356e-13,8.715176380381303e-13
0.19,4.911289067229074e-13,5.716275353960664e-13,1.7900893972728157e-13,1.2787433627663962e-12,3.1749327894942353e-13,8.750941395987503e-13
0.2,4.928287220750251e-13,5.736085238536246e-13,1.7958454178540503e-13,1.2827459280559463e-12,3.1838997403914137e-13,8.779177251497671e-13
0.21,4.941706966020705e-13,5.751724796351913e-13,1.8003896955694702e-13,1.2859058832098303e-12,3.1909789925464203e-13,8.80146896634633e-13
0.22,4.952301620498519e-13,5.76407195405742e-13,1.8039773234521755e-13,1.2884006125271675e-12,3.1965679388368993e-13,8.819067885882138e-13
0.23,4.960665915146176e-13,5.773819819390956e-13,1.8068096929998895e-13,1.2903701577181912e-12,3.200980314438838e-13,8.832961925460123e-13
0.24,4.967269379667086e-13,5.781515588800693e-13,1.8090457992836966e-13,1.2919250792333796e-12,3.204463807949112e-13,8.843931027016521e-13
0.25,4.972482699560101e-13,5.787591264323526e-13,1.8108111661355647e-13,1.2931526626053812e-12,3.2072139652434466e-13,8.8525909410931e-13
0.26,4.976598524551665e-13,5.792387904021582e-13,1.8122048924284697e-13,1.2941218182334095e-12,3.2093851663943973e-13,8.859427791989205e-13
0.27,4.979847896489024e-13,5.79617476727753e-13,1.8133052149916952e-13,1.2948869496724817e-12,3.211099291779417e-13,8.864825366348489e-13
0.28,4.982413218874895e-13,5.799164429670754e-13,1.8141739004353788e-13,1.2954910075784661e-12,3.212452563829945e-13,8.86908665702254e-13
0.29,4.984438496088522e-13,5.801524715907998e-13,1.8148597124193204e-13,1.2959679007437452e-12,3.213520948475672e-13,8.872450871575204e-13
0.3,4.986037417071955e-13,5.803388120663769e-13,1.815401149001154e-13,1.2963443995675346e-12,3.2143644194914466e-13,8.875106860199784e-13
0.31,4.987299737259076e-13,5.804859246169249e-13,1.8158286037249155e-13,1.296641638812379e-12,3.215030325125016e-13,8.877203716825149e-13
0.32,4.988296316997103e-13,5.80602067405879e-13,1.8161660717627159e-13,1.2968763040041256e-12,3.215556045990959e-13,8.878859148503818e-13
0.33,4.989083099292421e-13,5.806937601090226e-13,1.8164324968838026e-13,1.2970615680739701e-12,3.215971093431541e-13,8.880166082897714e-13
0.34,4.989704250171377e-13,5.807661498965032e-13,1.8166428348630942e-13,1.2972078308209936e-12,3.216298766135998e-13,8.881197884772687e-13
0.35000000000000003,4.990194637940289e-13,5.808233003692436e-13,1.816808893023647e-13,1.29732330270491e-12,3.216557458012515e-13,8.882012474329875e-13
0.36,4.990581790517959e-13,5.808684196691912e-13,1.8169399930407644e-13,1.2974144657402452e-12,3.216761690730297e-13,8.88265557855635e-13
0.37,4.990887440715391e-13,5.809040405683731e-13,1.8170434942142756e-13,1.2974864373642423e-12,3.216922928893531e-13,8.883163298109664e-13
0.38,4.991128746207301e-13,5.809321626460656e-13,1.8171252065828457e-13,1.2975432577042162e-12,3.217050223606963e-13,8.883564133828364e-13
0.39,4.991319252678129e-13,5.809543645351787e-13,1.8171897170705126e-13,1.2975881163701118e-12,3.2171507205596807e-13,8.883880586626642e-13
0.4,4.991469654209165e-13,5.809718925388199e-13,1.8172406469736827e-13,1.2976235315032624e-12,3.217230061148412e-13,8.884130420583208e-13
0.41000000000000003,4.991588393590753e-13,5.809857305915228e-13,1.8172808552426142e-13,1.2976514911322679e-12,3.217292699157325e-13,8.884327660127919e-13
0.42,4.991682136258431e-13,5.809966554924138e-13,1.8173125989685918e-13,1.2976735647709798e-12,3.217342150771228e-13,8.884483377303166e-13
0.43,4.991756144457106e-13,5.810052805108347e-13,1.8173376600857638e-13,1.2976909915231693e-12,3.2173811919566014e-13,8.884606313293018e-13
0.44,4.991814572637203e-13,5.8101208981222e-13,1.8173574454000116e-13,1.2977047496396198e-12,3.2174120142904976e-13,8.88470336910961e-13
0.45,4.991860700664807e-13,5.810174656367221e-13,1.8173730655600114e-13,1.2977156114322354e-12,3.217436347984719e-13,8.884779992981478e-13
0.46,4.991897117936843e-13,5.81021709756264e-13,1.8173853974034854e-13,1.2977241866277763e-12,3.217455559011256e-13,8.884840486189884e-13
0.47000000000000003,4.991925868736994e-13,5.81025060414507e-13,1.817395133178498e-13,1.2977309565948678e-12,3.217470725781134e-13,8.884888244521247e-13
0.48,4.991948566991515e-13,5.81027705700662e-13,1.8174028194028096e-13,1.2977363013656317e-12,3.2174826996810254e-13,8.884925948889633e-13
0.49,4.991966486866968e-13,5.810297941078748e-13,1.817408887542645e-13,1.2977405209687898e-12,3.2174921528658374e-13,8.884955715829871e-13
0.5,4.991980634295608e-13,5.810314428688898e-13,1.8174136782330495e-13,1.2977438522717765e-12,3.2174996159901204e-13,8.884979216309234e-13
0.51,4.991991803443403e-13,5.810327445369117e-13,1.817417460399442e-13,1.2977464822772943e-12,3.2175055079963796e-13,8.884997769527192e-13
0.52,4.992000621290492e-13,5.810337721810772e-13,1.817420446353743e-13,1.2977485586207107e-12,3.2175101596324003e-13,8.885012416968691e-13
0.53,4.992007582826751e-13,5.810345834881959e-13,1.8174228037125072e-13,1.2977501978575694e-12,3.2175138320177866e-13,8.885023980867897e-13
0.54,4.992013078838026e-13,5.810352240009943e-13,1.817424664806073e-13,1.2977514920064356e-12,3.217516731301901e-13,8.885033110364325e-13
0.55,4.992017417842918e-13,5.810357296746598e-13,1.8174261341069333e-13,1.2977525137143595e-12,3.217519020236065e-13,8.885040317942288e-13
0.56,4.992020843411488e-13,5.810361288951867e-13,1.8174272940942994e-13,1.29775332033492e-12,3.217520827309605e-13,8.885046008199188e-13
0.5700000000000001,4.992023547838037e-13,5.810364440728195e-13,1.8174282098840635e-13,1.297753957147761e-12,3.2175222539626014e-13,8.885050500557617e-13
0.58,4.992025682935561e-13,5.810366929000547e-13,1.8174289328840832e-13,1.297754459900376e-12,3.2175233802802225e-13,8.885054047196126e-13
0.59,4.992027368557768e-13,5.810368893448095e-13,1.8174295036799677e-13,1.2977548568147846e-12,3.2175242694883096e-13,8.885056847205279e-13
0.6,4.992028699327048e-13,5.810370444345132e-13,1.8174299543133512e-13,1.2977551701717768e-12,3.2175249715025616e-13,8.885059057763591e-13
0.61,4.992029749954738e-13,5.810371668761969e-13,1.8174303100850885e-13,1.297755417564601e-12,3.2175255257462664e-13,8.88506080297814e-13
0.62,4.992030579412336e-13,5.810372635423473e-13,1.8174305909623515e-13,1.2977556128779757e-12,3.217525963312952e-13,8.8850621808032e-13
0.63,4.992031234253591e-13,5.81037339858428e-13,1.817430812708724e-13,1.2977557670736693e-12,3.2175263087571145e-13,8.885063268568474e-13
0.64,4.992031751236957e-13,5.81037400108373e-13,1.817430987772429e-13,1.297755888807777e-12,3.217526581475994e-13,8.885064127335538e-13
0.65,4.992032159384136e-13,5.810374476744041e-13,1.8174311259813212e-13,1.297755984914198e-12,3.2175267967811046e-13,8.885064805313348e-13
0.66,4.992032481607449e-13,5.810374852267524e-13,1.8174312350941998e-13,1.2977560607881256e-12,3.217526966759654e-13,8.885065340562009e-13
0.67,4.992032735995725e-13,5.810375148735118e-13,1.817431321236431e-13,1.297756120688937e-12,3.2175271009539714e-13,8.885065763129134e-13
0.68,4.992032936829719e-13,5.810375382789818e-13,1.8174313892438397e-13,1.2977561679793227e-12,3.2175272068974436e-13,8.885066096736653e-13
0.6900000000000001,4.992033095383784e-13,5.810375567570891e-13,1.8174314429342052e-13,1.2977562053140495e-12,3.217527290537499e-13,8.885066360112506e-13
0.7000000000000001,4.992033220558747e-13,5.810375713451519e-13,1.817431485321574e-13,1.2977562347890015e-12,3.217527356569494e-13,8.885066568041991e-13
0.71,4.992033319381645e-13,5.810375828621092e-13,1.8174315187854786e-13,1.2977562580588333e-12,3.217527408700313e-13,8.88506673219778e-13
0.72,4.992033397400173e-13,5.810375919544955e-13,1.8174315452044998e-13,1.2977562764298566e-12,3.2175274498564576e-13,8.885066861795192e-13
0.73,4.992033458994087e-13,5.810375991327355e-13,1.8174315660617405e-13,1.2977562909333793e-12,3.217527482348334e-13,8.885066964109519e-13
0.74,4.992033507621149e-13,5.810376047997993e-13,1.8174315825280752e-13,1.2977563023835938e-12,3.2175275079999613e-13,8.885067044884448e-13
0.75,4.992033546011148e-13,5.810376092738233e-13,1.81743159552789e-13,1.2977563114232873e-12,3.2175275282513606e-13,8.885067108654492e-13
0.76,4.992033576319218e-13,5.810376128059668e-13,1.8174316057909585e-13,1.2977563185599292e-12,3.217527544239398e-13,8.885067158999549e-13
0.77,4.992033600246776e-13,5.810376155945176e-13,1.8174316138934281e-13,1.2977563241941516e-12,3.2175275568616064e-13,8.885067198745869e-13
0.78,4.992033619137067e-13,5.81037617796017e-13,1.8174316202901503e-13,1.2977563286422477e-12,3.2175275668265625e-13,8.885067230124726e-13
0.79,4.992033634050526e-13,5.810376195340533e-13,1.8174316253402224e-13,1.2977563321539218e-12,3.2175275746936797e-13,8.885067254897645e-13
0.8,4.992033645824379e-13,5.810376209061948e-13,1.8174316293271446e-13,1.2977563349263116e-12,3.217527580904596e-13,8.885067274455326e-13
0.81,4.992033655119573e-13,5.81037621989471e-13,1.817431632474735e-13,1.2977563371150537e-12,3.2175275858079786e-13,8.885067289895686e-13
0.8200000000000001,4.992033662457947e-13,5.810376228446922e-13,1.8174316349596832e-13,1.2977563388430176e-12,3.217527589679092e-13,8.885067302085515e-13
