Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.0,0.0,0.0,0.0,-2.2537083104317968e-12,0.0,-1.5394182448304624e-13
0.01,-8.362800939251288e-14,-1.0774464383057023e-13,3.418292809618187e-14,-1.9809851180360665e-13,5.193924512317197e-14,-8.445766648303744e-15
0.02,-2.0116960369011106e-14,-2.9433069667425743e-14,1.3107127083255752e-14,2.0020295048150717e-13,9.999896247259386e-14,1.6206457114028018e-13
0.03,-4.861465166869937e-15,-7.567680683945785e-15,4.02151683609996e-15,4.694890755994144e-13,1.4648178116124382e-13,3.221178032514049e-13
0.04,-1.2145288799413567e-15,-1.9606411499851904e-15,1.1478642328943799e-15,6.804941854320896e-13,1.8948404052823898e-13,4.628164880231558e-13
0.05,-3.0921190357528585e-16,-5.110044564590314e-16,3.176376958695336e-16,8.547932026817528e-13,2.278567403511889e-13,5.844889452860853e-13
0.06,-7.787720130596654e-17,-1.3166132825191957e-16,8.717929590672968e-17,1.0024369475657276e-12,2.6152463709472475e-13,6.894641774579314e-13
0.07,-1.7458607770803563e-17,-3.1353676686167337e-17,2.4562590303681553e-17,1.1289321618234175e-12,2.908282056182353e-13,7.800741689472426e-13
0.08,-1.2802757009049158e-18,-4.443838388939986e-18,7.810199261026811e-18,1.2378521238765617e-12,3.162374368991668e-13,8.583356229745094e-13
0.09,3.2790199410702406e-18,3.0271912728663336e-18,3.4247779262566775e-18,1.3318530992722555e-12,3.382347231627641e-13,9.259657506560818e-13
0.1,4.7383119672542605e-18,5.303709690107845e-18,2.3420066716049847e-18,1.4130671868238846e-12,3.5726650229732946e-13,9.844291594684459e-13
0.11,5.343717001077859e-18,6.162536219479709e-18,2.129685250987368e-18,1.4832711419378723e-12,3.737288041377547e-13,1.0349792512409485e-12
0.12,5.693322966826964e-18,6.610621553793912e-18,2.1391350122248364e-18,1.5439733874433123e-12,3.8796732102252457e-13,1.0786925351008747e-12
0.13,5.949541736342866e-18,6.919902733950762e-18,2.1987307410187698e-18,1.5964666420847992e-12,4.002820657670058e-13,1.1164962418896635e-12
0.14,6.158897549632173e-18,7.166612820552855e-18,2.2639610535936147e-18,1.6418639394220772e-12,4.1093285039894615e-13,1.1491904876545706e-12
0.15,6.336718825393435e-18,7.374471654791496e-18,2.324019713347895e-18,1.6811257725144948e-12,4.20144483580426e-13,1.1774664176080975e-12
0.16,6.48965312364823e-18,7.552781962144012e-18,2.3769325259214763e-18,1.715081915496532e-12,4.2811142381720765e-13,1.2019213864628231e-12
0.17,6.621695772536088e-18,7.706611777097351e-18,2.4229537788236135e-18,1.7444496094699074e-12,4.3500185855471535e-13,1.2230718461676074e-12
0.18,6.7358370305572695e-18,7.839553884263242e-18,2.462825360987835e-18,1.7698489978349596e-12,4.409612490131343e-13,1.241364378357683e-12
0.19,6.834539877795243e-18,7.954505975985409e-18,2.4973278104398452e-18,1.7918163478581184e-12,4.4611540042915234e-13,1.2571851821914061e-12
0.2,6.919901929243419e-18,8.053918706194138e-18,2.527173170583087e-18,1.8108154292427212e-12,4.505731183019831e-13,1.2708682549217091e-12
0.21,6.993728803143472e-18,8.139896947468992e-18,2.5529871226477486e-18,1.8272473302341283e-12,4.5442850575329527e-13,1.2827024554083807e-12
0.22,7.057579902847686e-18,8.214257313172202e-18,2.5753134319698917e-18,1.841458936256033e-12,4.577629503541175e-13,1.2929376078230737e-12
0.23,7.112803349026846e-18,8.278569955012259e-18,2.5946230924849347e-18,1.8537502579316337e-12,4.606468423918916e-13,1.30178977814417e-12
0.24,7.160564957374205e-18,8.334192609205515e-18,2.6113236455742115e-18,1.864380766695534e-12,4.6314106090138e-13,1.309445836551105e-12
0.25,7.20187298550935e-18,8.382299490196901e-18,2.625767616062991e-18,1.8735748733195544e-12,4.652982588671383e-13,1.3160674028227185e-12
0.26,7.237599446603143e-18,8.423906137595616e-18,2.638259909874798e-18,1.8815266657168384e-12,4.671639747504518e-13,1.3217942583912174e-12
0.27,7.268498523909558e-18,8.459890867344141e-18,2.649064237028883e-18,1.888404006361914e-12,4.687775938169705e-13,1.3267472972473277e-12
0.28,7.295222497740998e-18,8.491013316309826e-18,2.6584086764367877e-18,1.8943520759695864e-12,4.701731795647065e-13,1.331031078066847e-12
0.29,7.318335510148213e-18,8.517930478701803e-18,2.6664904887530202e-18,1.89949643830622e-12,4.713801928068002e-13,1.3347360314690732e-12
0.3,7.338325476333046e-18,8.54121057577619e-18,2.6734802811087064e-18,1.903945690861882e-12,4.724241135903346e-13,1.3379403690184079e-12
0.31,7.355614384785869e-18,8.561345050580227e-18,2.6795256080925964e-18,1.9077937573528263e-12,4.733269790805899e-13,1.3407117342755256e-12
0.32,7.370567204391357e-18,8.578758941056101e-18,2.6847540861204703e-18,1.911121870455357e-12,4.741078487657786e-13,1.3431086307551616e-12
0.33,7.383499588488804e-18,8.5938198546805e-18,2.6892760887947326e-18,1.9140002866294436e-12,4.747832068029075e-13,1.3451816569362482e-12
0.34,7.394684539719968e-18,8.606845727270563e-18,2.6931870751410533e-18,1.9164897692333357e-12,4.753673099983348e-13,1.3469745743961738e-12
0.35000000000000003,7.40435817304377e-18,8.618111535012967e-18,2.6965696064687248e-18,1.9186428712383154e-12,4.758724887689403e-13,1.3485252316177916e-12
0.36,7.412724698064021e-18,8.627855099333427e-18,2.6994950878612306e-18,1.920505044621974e-12,4.763094074372014e-13,1.3498663629708959e-12
0.37,7.419960732196959e-18,8.636282106242836e-18,2.7020252759829666e-18,1.922115599859425e-12,4.766872893550168e-13,1.3510262797347271e-12
0.38,7.426219029751464e-18,8.643570450514096e-18,2.704213583694601e-18,1.923508535767367e-12,4.770141116086431e-13,1.3520294677490221e-12
0.39,7.431631700872329e-18,8.649873988777314e-18,2.706106205628447e-18,1.924713257219032e-12,4.772967734149628e-13,1.3528971043100334e-12
0.4,7.43631300842557e-18,8.655325788441557e-18,2.7077430951611993e-18,1.9257551958809836e-12,4.775412417639372e-13,1.3536475052232004e-12
0.41000000000000003,7.440361774389988e-18,8.660040936963298e-18,2.7091588070653265e-18,1.926656347075537e-12,4.777526773817461e-13,1.354296511449755e-12
0.42,7.443863467600995e-18,8.664118971750775e-18,2.7103832269577847e-18,1.9274357341019514e-12,4.779355436737057e-13,1.3548578235093704e-12
0.43,7.446892010423098e-18,8.667645979358819e-18,2.711442202489029e-18,1.9281098098182314e-12,4.780937009467401e-13,1.3553432906980944e-12
0.44,7.449511334412147e-18,8.670696415449135e-18,2.7123580884031523e-18,1.928692803960908e-12,4.782304879004515e-13,1.3557631612269564e-12
0.45,7.451776733365727e-18,8.67333467460303e-18,2.713150219199035e-18,1.9291970235347426e-12,4.783487921070593e-13,1.3561262985616766e-12
