Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.0,0.0,0.0,0.0,-2.2537083104317968e-12,0.0,-1.5394182448304624e-13
0.01,-1.0018429081012041e-13,-1.2710726485396522e-13,2.7022338516357233e-14,-1.996587678345204e-13,5.146473501830318e-14,-2.174682419782246e-14
0.02,1.8152056651920555e-14,1.5517265141344872e-14,3.054419631228048e-14,1.9670494252746157e-13,9.899744258144442e-14,1.3552025857055876e-13
0.03,1.0639110647262592e-13,1.2202009524609972e-13,5.028154065670089e-14,4.58442516846732e-13,1.4327957015519354e-13,2.812010246718459e-13
0.04,1.7758733689672288e-13,2.0600747435739325e-13,7.213751530737398e-14,6.536377428973889e-13,1.8180238990111125e-13,4.0408950491071206e-13
0.05,2.3518474175847864e-13,2.733643761112287e-13,9.124209218546316e-14,8.043234415753223e-13,2.1371888158467315e-13,5.040422039413941e-13
0.06,2.814462815019024e-13,3.27322606034117e-13,1.068864167607826e-13,9.224453186283072e-13,2.3955904182978204e-13,5.841828190151098e-13
0.07,3.184027973785207e-13,3.7039684373015737e-13,1.194356836188762e-13,1.0156557021912213e-12,2.602493232992889e-13,6.480496737299912e-13
0.08,3.4782790445092225e-13,4.046872106036413e-13,1.294307297148077e-13,1.0894073641722738e-12,2.7672693006158725e-13,6.988064041213731e-13
0.09,3.7121142887561017e-13,4.319364602214838e-13,1.3737027827748286e-13,1.1478289587956616e-12,2.8981700886522643e-13,7.390926812374951e-13
0.1,3.897741547391875e-13,4.53568152042978e-13,1.4367044482204997e-13,1.1941310511124593e-12,3.0020480467450373e-13,7.71050290483187e-13
0.11,4.045016401688535e-13,4.707307268959123e-13,1.4866759067514708e-13,1.2308367943230162e-12,3.084443848071442e-13,7.963948082905698e-13
0.12,4.161828341209065e-13,4.843434390952729e-13,1.526304815040776e-13,1.2599383392372835e-12,3.149786795172803e-13,8.1649249523814e-13
0.13,4.254464212982673e-13,4.951388398691022e-13,1.5577291514980576e-13,1.2830121703222694e-12,3.20160143439435e-13,8.32428751841929e-13
0.14,4.327921805045177e-13,5.036993070773869e-13,1.5826465817720868e-13,1.3013071977767268e-12,3.2426869095681296e-13,8.450649520265417e-13
